id,name,price,category,stock
1,Обеденный стол "Милан",25900,столы,8
2,Диван угловой "Барселона",65900,диваны,3
3,Стул офисный "Эргономик",8900,стулья,15
4,Шкаф-купе 3-дверный",42900,шкафы,5
5,Кровать двуспальная "Флоренция",37900,кровати,6
6,Тумба прикроватная "Нео",5400,тумбы,12
7,Комод 4-х ящичный "Версаль",18700,комоды,7
8,Кресло компьютерное "Геймер",12400,кресла,9
9,Полка книжная "Модерн",3200,полки,20
10,Журнальный столик "Гласс",11200,столы,11
11,Стенка гостинная "Классик",78900,стенки,2
12,Пуф кожаный "Премиум",6700,пуфы,8
13,Стеллаж офисный "ОфисПро",23400,стеллажи,4
14,Матрас ортопедический "Комфорт",28900,матрасы,6
15,Вешалка прихожая "Мини",4500,вешалки,14
16,Барный стул "Хром",6200,стулья,10
17,Тумба ТВ "Плазма",15600,тумбы,5
18,Стол письменный "Студент",14300,столы,7
19,Кресло-качалка "Релакс",18300,кресла,3
20,Зеркало напольное "Арт",8900,зеркала,9
